questionId,frontendQuestionId,title,titleSlug,difficulty,acRate,isPaidOnly,topics,hasSolution,hasVideoSolution,url
1,1,Two Sum,two-sum,Easy,55.23,False,"Array, Hash Table",True,True,https://leetcode.com/problems/two-sum
2,2,Add Two Numbers,add-two-numbers,Medium,45.6,False,"Linked List, Math, Recursion",True,True,https://leetcode.com/problems/add-two-numbers
3,3,Longest Substring Without Repeating Characters,longest-substring-without-repeating-characters,Medium,36.46,False,"Hash Table, String, Sliding Window",True,True,https://leetcode.com/problems/longest-substring-without-repeating-characters
4,4,Median of Two Sorted Arrays,median-of-two-sorted-arrays,Hard,43.12,False,"Array, Binary Search, Divide and Conquer",True,True,https://leetcode.com/problems/median-of-two-sorted-arrays
5,5,Longest Palindromic Substring,longest-palindromic-substring,Medium,35.41,False,"Two Pointers, String, Dynamic Programming",True,True,https://leetcode.com/problems/longest-palindromic-substring
6,6,Zigzag Conversion,zigzag-conversion,Medium,50.95,False,String,True,True,https://leetcode.com/problems/zigzag-conversion
7,7,Reverse Integer,reverse-integer,Medium,29.95,False,Math,True,True,https://leetcode.com/problems/reverse-integer
8,8,String to Integer (atoi),string-to-integer-atoi,Medium,18.82,False,String,True,False,https://leetcode.com/problems/string-to-integer-atoi
9,9,Palindrome Number,palindrome-number,Easy,58.78,False,Math,True,True,https://leetcode.com/problems/palindrome-number
10,10,Regular Expression Matching,regular-expression-matching,Hard,29.02,False,"String, Dynamic Programming, Recursion",True,False,https://leetcode.com/problems/regular-expression-matching
11,11,Container With Most Water,container-with-most-water,Medium,57.31,False,"Array, Two Pointers, Greedy",True,True,https://leetcode.com/problems/container-with-most-water
12,12,Integer to Roman,integer-to-roman,Medium,67.98,False,"Hash Table, Math, String",True,True,https://leetcode.com/problems/integer-to-roman
13,13,Roman to Integer,roman-to-integer,Easy,64.3,False,"Hash Table, Math, String",True,True,https://leetcode.com/problems/roman-to-integer
14,14,Longest Common Prefix,longest-common-prefix,Easy,45.02,False,"String, Trie",True,True,https://leetcode.com/problems/longest-common-prefix
15,15,3Sum,3sum,Medium,36.58,False,"Array, Two Pointers, Sorting",True,True,https://leetcode.com/problems/3sum
16,16,3Sum Closest,3sum-closest,Medium,46.65,False,"Array, Two Pointers, Sorting",True,True,https://leetcode.com/problems/3sum-closest
17,17,Letter Combinations of a Phone Number,letter-combinations-of-a-phone-number,Medium,63.25,False,"Hash Table, String, Backtracking",True,False,https://leetcode.com/problems/letter-combinations-of-a-phone-number
18,18,4Sum,4sum,Medium,37.72,False,"Array, Two Pointers, Sorting",True,False,https://leetcode.com/problems/4sum
19,19,Remove Nth Node From End of List,remove-nth-node-from-end-of-list,Medium,48.28,False,"Linked List, Two Pointers",True,True,https://leetcode.com/problems/remove-nth-node-from-end-of-list
20,20,Valid Parentheses,valid-parentheses,Easy,41.95,False,"String, Stack",True,True,https://leetcode.com/problems/valid-parentheses
21,21,Merge Two Sorted Lists,merge-two-sorted-lists,Easy,66.4,False,"Linked List, Recursion",True,True,https://leetcode.com/problems/merge-two-sorted-lists
22,22,Generate Parentheses,generate-parentheses,Medium,76.66,False,"String, Dynamic Programming, Backtracking",True,True,https://leetcode.com/problems/generate-parentheses
23,23,Merge k Sorted Lists,merge-k-sorted-lists,Hard,56.01,False,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort",True,True,https://leetcode.com/problems/merge-k-sorted-lists
24,24,Swap Nodes in Pairs,swap-nodes-in-pairs,Medium,66.65,False,"Linked List, Recursion",True,False,https://leetcode.com/problems/swap-nodes-in-pairs
25,25,Reverse Nodes in k-Group,reverse-nodes-in-k-group,Hard,62.25,False,"Linked List, Recursion",True,False,https://leetcode.com/problems/reverse-nodes-in-k-group
26,26,Remove Duplicates from Sorted Array,remove-duplicates-from-sorted-array,Easy,59.67,False,"Array, Two Pointers",True,True,https://leetcode.com/problems/remove-duplicates-from-sorted-array
27,27,Remove Element,remove-element,Easy,59.58,False,"Array, Two Pointers",True,True,https://leetcode.com/problems/remove-element
28,28,Find the Index of the First Occurrence in a String,find-the-index-of-the-first-occurrence-in-a-string,Easy,44.58,False,"Two Pointers, String, String Matching",True,True,https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string
29,29,Divide Two Integers,divide-two-integers,Medium,18.2,False,"Math, Bit Manipulation",True,False,https://leetcode.com/problems/divide-two-integers
30,30,Substring with Concatenation of All Words,substring-with-concatenation-of-all-words,Hard,32.83,False,"Hash Table, String, Sliding Window",True,True,https://leetcode.com/problems/substring-with-concatenation-of-all-words
31,31,Next Permutation,next-permutation,Medium,42.49,False,"Array, Two Pointers",True,True,https://leetcode.com/problems/next-permutation
32,32,Longest Valid Parentheses,longest-valid-parentheses,Hard,35.8,False,"String, Dynamic Programming, Stack",True,False,https://leetcode.com/problems/longest-valid-parentheses
33,33,Search in Rotated Sorted Array,search-in-rotated-sorted-array,Medium,42.44,False,"Array, Binary Search",True,False,https://leetcode.com/problems/search-in-rotated-sorted-array
34,34,Find First and Last Position of Element in Sorted Array,find-first-and-last-position-of-element-in-sorted-array,Medium,46.29,False,"Array, Binary Search",True,False,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array
35,35,Search Insert Position,search-insert-position,Easy,48.48,False,"Array, Binary Search",True,True,https://leetcode.com/problems/search-insert-position
36,36,Valid Sudoku,valid-sudoku,Medium,61.79,False,"Array, Hash Table, Matrix",True,False,https://leetcode.com/problems/valid-sudoku
